数据点,cx,cy,象限,FPGA(KF)计算角度(°),MATLAB计算角度(°)
          0, 15646, 21424,1,140.305163,140.270192
          1, 15639, 21359,1,123.211549,123.323455
          2, 15614, 21376,1,116.420265,116.406276
          3, 15596, 21379,1,112.835781,112.793817
          4, 15559, 21385,1,111.066270,111.108235
          5, 15533, 21385,1,110.450788,110.520730
          6, 15510, 21377,1,110.422812,110.520730
          7, 15487, 21365,1,110.695582,110.835465
          8, 15483, 21310,1,111.122223,111.276094
          9, 15453, 21320,1,111.625800,111.779670
         10, 15425, 21333,1,112.136370,112.290240
         11, 15396, 21328,1,112.632952,112.828787
         12, 15371, 21318,1,113.150516,113.353346
         13, 15349, 21317,1,113.647098,113.849928
         14, 15323, 21315,1,114.122698,114.332522
         15, 15333, 21238,1,114.570321,114.787139
         16, 15299, 21254,1,115.017945,115.227768
         17, 15266, 21270,1,115.441089,115.636924
         18, 15239, 21267,1,115.832759,116.056571
         19, 15215, 21270,1,116.238418,116.434253
         20, 15212, 21267,1,116.602111,116.741994
         21, 15197, 21277,1,116.895864,116.993782
         22, 15217, 21205,1,117.126670,117.238576
         23, 15187, 21231,1,117.364470,117.476376
         24, 15169, 21254,1,117.595276,117.665217
         25, 15157, 21259,1,117.777123,117.847064
         26, 15143, 21265,1,117.944981,118.000934
         27, 15134, 21271,1,118.084864,118.126828
         28, 15113, 21268,1,118.217752,118.301681
         29, 15101, 21186,1,118.378616,118.609422
         30, 15086, 21205,1,118.686357,118.847222
         31, 15057, 21210,1,118.910169,119.085022
         32, 15017, 21197,1,119.147969,119.406751
         33, 14981, 21193,1,119.462704,119.756457
         34, 14951, 21178,1,119.812410,120.120151
         35, 14924, 21161,1,120.176104,120.497833
         36, 14895, 21145,1,120.546792,120.882509
         37, 14891, 21085,1,120.917480,121.274179
         38, 14854, 21093,1,121.309150,121.637873
         39, 14825, 21090,1,121.686832,121.994573
         40, 14791, 21075,1,122.036538,122.379249
         41, 14765, 21065,1,122.414220,122.728955
         42, 14732, 21054,1,122.756932,123.099643
         43, 14711, 21054,1,123.127620,123.414378
         44, 14715, 20977,1,123.449349,123.778072
         45, 14671, 20987,1,123.806049,124.134772
         46, 14646, 20983,1,124.162748,124.456501
         47, 14624, 20983,1,124.484478,124.743260
         48, 14598, 20970,1,124.771236,125.037013
         49, 14576, 20955,1,125.064989,125.323771
         50, 14546, 20945,1,125.365736,125.631512
         51, 14557, 20887,1,125.666483,125.953242
         52, 14518, 20885,1,125.967230,126.260983
         53, 14482, 20887,1,126.281965,126.582712
         54, 14464, 20876,1,126.603694,126.862476
         55, 14436, 20877,1,126.883459,127.135247
         56, 14415, 20869,1,127.156229,127.394029
         57, 14395, 20843,1,127.408017,127.687782
         58, 14401, 20784,1,127.701770,127.988529
         59, 14377, 20791,1,128.002517,128.254305
         60, 14336, 20793,1,128.261299,128.534069
         61, 14311, 20779,1,128.541064,128.820828
         62, 14283, 20764,1,128.827822,129.121575
         63, 14265, 20764,1,129.128569,129.380357
         64, 14241, 20748,1,129.394345,129.642637
         65, 14263, 20680,1,129.656625,129.922401
         66, 14225, 20689,1,129.943383,130.202166
         67, 14197, 20685,1,130.209160,130.474936
         68, 14165, 20672,1,130.481930,130.768689
         69, 14142, 20672,1,130.775683,131.027471
         70, 14121, 20661,1,131.034465,131.279259
         71, 14091, 20645,1,131.286253,131.559024
         72, 14124, 20559,1,131.573012,131.887747
         73, 14077, 20575,1,131.887747,132.181500
         74, 14045, 20577,1,132.188494,132.461264
         75, 14023, 20575,1,132.475253,132.720047
         76, 13996, 20563,1,132.720047,132.978829
         77, 13977, 20547,1,132.992817,133.237611
         78, 13955, 20534,1,133.251599,133.503387
         79, 13935, 20526,1,133.510381,133.755175
         80, 13949, 20463,1,133.762169,134.041934
         81, 13906, 20463,1,134.048928,134.349675
         82, 13882, 20459,1,134.356669,134.615451
         83, 13859, 20445,1,134.629440,134.902210
         84, 13837, 20436,1,134.909204,135.150501
         85, 13818, 20425,1,135.164489,135.409283
         86, 13798, 20403,1,135.423271,135.682054
         87, 13813, 20355,1,135.696042,135.954824
         88, 13777, 20358,1,135.968812,136.213606
         89, 13744, 20344,1,136.234589,136.514353
         90, 13726, 20330,1,136.521347,136.787124
         91, 13696, 20312,1,136.794118,137.087871
         92, 13684, 20305,1,137.094865,137.346653
         93, 13661, 20283,1,137.353647,137.626417
         94, 13682, 20235,1,137.633411,137.892194
         95, 13655, 20234,1,137.906182,138.143982
         96, 13618, 20224,1,138.157970,138.416752
         97, 13598, 20221,1,138.430740,138.661546
         98, 13577, 20199,1,138.661546,138.934317
         99, 13549, 20186,1,138.934317,139.214081
        100, 13536, 20171,1,139.214081,139.479857
        101, 13563, 20106,1,139.479857,139.766616
        102, 13521, 20112,1,139.766616,140.039387
        103, 13497, 20108,1,140.039387,140.291175
        104, 13474, 20090,1,140.298169,140.546460
        105, 13445, 20076,1,140.553454,140.833218
        106, 13426, 20061,1,140.840213,141.105989
        107, 13411, 20045,1,141.105989,141.364771
        108, 13441, 19983,1,141.371765,141.658524
        109, 13405, 19983,1,141.658524,141.924300
        110, 13367, 19971,1,141.938288,142.211059
        111, 13343, 19964,1,142.225047,142.497818
        112, 13328, 19949,1,142.497818,142.756600
        113, 13305, 19929,1,142.756600,143.029370
        114, 13283, 19909,1,143.036364,143.309135
        115, 13329, 19843,1,143.316129,143.602887
        116, 13280, 19841,1,143.616876,143.917623
        117, 13253, 19841,1,143.924617,144.176405
        118, 13226, 19830,1,144.183399,144.435187
        119, 13204, 19808,1,144.435187,144.721946
        120, 13184, 19788,1,144.728940,145.008704
        121, 13168, 19779,1,145.015698,145.267487
        122, 13221, 19707,1,145.267487,145.540257
        123, 13171, 19709,1,145.547251,145.813027
        124, 13141, 19702,1,145.827016,146.085798
        125, 13113, 19689,1,146.092792,146.358568
        126, 13093, 19665,1,146.365562,146.659315
        127, 13068, 19651,1,146.659315,146.939080
        128, 13052, 19631,1,146.946074,147.225838
        129, 13036, 19618,1,147.232832,147.484621
        130, 13069, 19570,1,147.491615,147.729415
        131, 13032, 19553,1,147.729415,148.030161
        132, 13005, 19545,1,148.030161,148.302932
        133, 12975, 19527,1,148.302932,148.596685
        134, 12965, 19511,1,148.589691,148.848473
        135, 12940, 19490,1,148.855467,149.135231
        136, 12933, 19474,1,149.149220,149.394014
        137, 12964, 19424,1,149.401008,149.666784
        138, 12928, 19411,1,149.666784,149.946549
        139, 12895, 19401,1,149.953543,150.219319
        140, 12873, 19378,1,150.226313,150.520066
        141, 14332, 19837,1,150.534054,146.554403
        142, 14108, 20007,1,146.568392,143.337111
        143, 13979, 20088,1,143.344105,140.994083
        144, 13959, 20086,1,140.994083,139.374946
        145, 13892, 20143,1,139.374946,138.227911
        146, 13852, 20171,1,138.220917,137.458559
        147, 13832, 20195,1,137.458559,136.920012
        148, 13815, 20200,1,136.913018,136.605277
        149, 13809, 20203,1,136.605277,136.416436
        150, 13808, 20206,1,136.409442,136.318518
        151, 13806, 20147,1,136.318518,136.430424
        152, 13846, 20173,1,136.430424,136.374471
        153, 13828, 20184,1,136.374471,136.367477
        154, 13821, 20196,1,136.374471,136.367477
        155, 13814, 20203,1,136.374471,136.395453
        156, 13809, 20203,1,136.409442,136.444412
        157, 13809, 20203,1,136.451406,136.493371
        158, 13809, 20206,1,136.500365,136.542330
        159, 13859, 20168,1,136.556318,136.570306
        160, 13831, 20185,1,136.584294,136.626259
        161, 13819, 20195,1,136.640247,136.682212
        162, 13822, 20204,1,136.696200,136.710188
        163, 13812, 20206,1,136.717183,136.745159
        164, 13809, 20208,1,136.759147,136.787124
        165, 13809, 20211,1,136.808106,136.822094
        166, 13863, 20164,1,136.829088,136.850071
        167, 13842, 20179,1,136.850071,136.878047
        168, 13827, 20195,1,136.892035,136.906024
        169, 13824, 20200,1,136.920012,136.913018
        170, 13807, 20208,1,136.934000,136.954982
        171, 13808, 20207,1,136.975965,136.982959
        172, 13810, 20204,1,136.996947,137.017929
        173, 13877, 20149,1,137.031918,137.038912
        174, 13849, 20172,1,137.045906,137.059894
        175, 13832, 20195,1,137.066888,137.052900
        176, 13821, 20193,1,137.052900,137.080876
        177, 13818, 20203,1,137.087871,137.080876
        178, 13811, 20208,1,137.094865,137.094865
        179, 13809, 20207,1,137.101859,137.101859
        180, 13818, 20213,1,137.115847,137.073882
        181, 13868, 20182,1,137.087871,137.031918
        182, 13846, 20199,1,137.038912,136.996947
        183, 13838, 20206,1,137.010935,136.982959
        184, 13834, 20215,1,136.982959,136.947988
        185, 13828, 20214,1,136.954982,136.947988
        186, 13820, 20220,1,136.954982,136.954982
        187, 13821, 20222,1,136.961977,136.947988
        188, 13871, 20175,1,136.954982,136.954982
        189, 13859, 20200,1,136.961977,136.920012
        190, 13847, 20211,1,136.934000,136.906024
        191, 13840, 20213,1,136.906024,136.892035
        192, 13828, 20219,1,136.892035,136.906024
        193, 13831, 20218,1,136.913018,136.913018
        194, 13829, 20225,1,136.906024,136.899029
        195, 13889, 20170,1,136.906024,136.899029
        196, 13856, 20191,1,136.899029,136.920012
        197, 13839, 20204,1,136.927006,136.940994
        198, 13837, 20207,1,136.947988,136.947988
        199, 13834, 20220,1,136.961977,136.940994
        200, 13834, 20218,1,136.940994,136.927006
        201, 13823, 20209,1,136.934000,136.968971
        202, 13821, 20170,1,136.982959,137.108853
        203, 13869, 20184,1,137.129835,137.059894
        204, 13843, 20200,1,137.080876,137.038912
        205, 13841, 20205,1,137.052900,137.031918
        206, 13833, 20209,1,137.045906,137.017929
        207, 13830, 20215,1,137.031918,137.003941
        208, 13825, 20213,1,137.024924,137.010935
        209, 13827, 20217,1,137.031918,137.003941
        210, 13880, 20182,1,137.017929,136.968971
        211, 13853, 20196,1,136.975965,136.968971
        212, 13837, 20212,1,136.968971,136.954982
        213, 13835, 20213,1,136.975965,136.954982
        214, 13831, 20218,1,136.961977,136.954982
        215, 13831, 20214,1,136.961977,136.954982
        216, 13826, 20217,1,136.968971,136.961977
        217, 13879, 20170,1,136.975965,136.975965
        218, 13862, 20192,1,136.982959,136.954982
        219, 13843, 20196,1,136.975965,136.989953
        220, 13837, 20214,1,136.996947,136.968971
        221, 13834, 20210,1,136.982959,136.968971
        222, 13827, 20213,1,136.989953,136.989953
        223, 13826, 20219,1,136.996947,136.989953
        224, 13895, 20159,1,136.996947,136.982959
        225, 13866, 20178,1,136.989953,136.996947
        226, 13851, 20199,1,137.003941,136.975965
        227, 13834, 20206,1,136.989953,136.996947
        228, 13836, 20208,1,137.010935,136.989953
        229, 13828, 20214,1,137.003941,137.003941
        230, 13825, 20208,1,137.010935,137.024924
        231, 13829, 20220,1,137.038912,137.003941
        232, 13868, 20177,1,137.017929,137.003941
        233, 13856, 20200,1,137.024924,136.975965
        234, 13839, 20207,1,136.989953,136.982959
        235, 13835, 20211,1,136.982959,136.982959
        236, 13831, 20211,1,136.982959,136.996947
        237, 13832, 20212,1,136.989953,136.996947
        238, 13827, 20215,1,137.003941,137.003941
        239, 13878, 20175,1,137.003941,136.982959
        240, 13857, 20186,1,136.989953,136.996947
        241, 13847, 20203,1,137.010935,136.989953
        242, 13833, 20206,1,136.996947,136.996947
        243, 13834, 20211,1,137.017929,136.996947
        244, 13824, 20215,1,137.003941,137.003941
        245, 13833, 20213,1,137.017929,137.003941
        246, 13886, 20158,1,137.010935,137.024924
        247, 13861, 20182,1,137.024924,137.038912
        248, 13854, 20200,1,137.038912,136.989953
        249, 13836, 20199,1,137.003941,137.010935
        250, 13834, 20214,1,137.031918,136.996947
        251, 13831, 20212,1,137.003941,137.003941
        252, 13831, 20209,1,137.010935,137.010935
        253, 13832, 20149,1,137.024924,137.171800
        254, 13867, 20182,1,137.192782,137.115847
        255, 13852, 20196,1,137.136829,137.073882
        256, 13837, 20201,1,137.094865,137.080876
        257, 13835, 20208,1,137.080876,137.052900
        258, 13835, 20210,1,137.059894,137.031918
        259, 13827, 20205,1,137.031918,137.045906
        260, 13834, 20216,1,137.059894,137.024924
        261, 13875, 20165,1,137.024924,137.038912
        262, 13853, 20188,1,137.045906,137.031918
        263, 13846, 20201,1,137.045906,137.024924
        264, 13833, 20208,1,137.024924,137.017929
        265, 13838, 20215,1,137.031918,136.989953
        266, 13830, 20212,1,136.996947,136.989953
        267, 13823, 20212,1,136.996947,137.010935
        268, 13890, 20164,1,137.017929,136.996947
        269, 13857, 20187,1,137.003941,136.996947
        270, 13840, 20193,1,137.017929,137.031918
        271, 13839, 20205,1,137.045906,137.024924
        272, 13835, 20207,1,137.031918,137.024924
        273, 13829, 20208,1,137.031918,137.031918
        274, 13830, 20209,1,137.031918,137.031918
        275, 13897, 20156,1,137.038912,137.017929
        276, 13863, 20180,1,137.024924,137.017929
        277, 13844, 20192,1,137.031918,137.045906
        278, 13836, 20205,1,137.052900,137.038912
        279, 13836, 20208,1,137.045906,137.024924
        280, 13832, 20207,1,137.031918,137.031918
        281, 13831, 20213,1,137.038912,137.017929
        282, 13826, 20204,1,137.024924,137.038912
        283, 13877, 20174,1,137.052900,137.024924
        284, 13853, 20188,1,137.031918,137.031918
        285, 13846, 20203,1,137.038912,137.010935
        286, 13837, 20202,1,137.017929,137.017929
        287, 13831, 20203,1,137.031918,137.045906
        288, 13831, 20212,1,137.045906,137.024924
        289, 13826, 20214,1,137.038912,137.024924
        290, 13882, 20168,1,137.038912,137.024924
        291, 13855, 20184,1,137.024924,137.031918
        292, 13840, 20199,1,137.031918,137.038912
        293, 13840, 20209,1,137.045906,137.017929
        294, 13835, 20210,1,137.017929,137.003941
        295, 13828, 20209,1,137.003941,137.017929
        296, 13825, 20203,1,137.024924,137.045906
        297, 13889, 20158,1,137.059894,137.045906
        298, 13865, 20181,1,137.052900,137.031918
        299, 13845, 20192,1,137.031918,137.045906
        300, 13840, 20199,1,137.052900,137.045906
        301, 13833, 20203,1,137.052900,137.059894
        302, 13830, 20208,1,137.059894,137.045906
        303, 13821, 20206,1,137.059894,137.073882
        304, 13829, 20147,1,137.087871,137.241741
        305, 13871, 20176,1,137.248735,137.178794
        306, 13853, 20195,1,137.185788,137.122841
        307, 13841, 20198,1,137.129835,137.101859
        308, 13837, 20200,1,137.101859,137.080876
        309, 13836, 20207,1,137.087871,137.059894
        310, 13829, 20205,1,137.066888,137.066888
        311, 13826, 20207,1,137.073882,137.059894
        312, 13878, 20170,1,137.073882,137.045906
        313, 13854, 20187,1,137.052900,137.045906
        314, 13843, 20193,1,137.052900,137.052900
        315, 13832, 20203,1,137.059894,137.059894
        316, 13836, 20210,1,137.073882,137.038912
        317, 13833, 20209,1,137.045906,137.031918
        318, 13827, 20205,1,137.024924,137.045906
        319, 13886, 20159,1,137.045906,137.045906
        320, 13865, 20183,1,137.052900,137.024924
        321, 13843, 20193,1,137.024924,137.052900
        322, 13837, 20203,1,137.052900,137.038912
        323, 13841, 20199,1,137.045906,137.031918
        324, 13833, 20205,1,137.045906,137.045906
        325, 13829, 20210,1,137.045906,137.031918
        326, 13897, 20155,1,137.038912,137.017929
        327, 13862, 20175,1,137.024924,137.038912
        328, 13852, 20196,1,137.045906,137.017929
        329, 13840, 20194,1,137.024924,137.052900
        330, 13833, 20197,1,137.052900,137.066888
        331, 13835, 20198,1,137.066888,137.073882
        332, 13832, 20203,1,137.080876,137.066888
        333, 13831, 20210,1,137.087871,137.052900
        334, 13876, 20169,1,137.066888,137.052900
        335, 13851, 20185,1,137.059894,137.052900
        336, 13844, 20196,1,137.073882,137.052900
        337, 13841, 20204,1,137.066888,137.031918
        338, 13831, 20201,1,137.045906,137.052900
        339, 13833, 20205,1,137.059894,137.052900
        340, 13837, 20206,1,137.052900,137.031918
        341, 13880, 20165,1,137.038912,137.031918
        342, 13860, 20179,1,137.045906,137.045906
        343, 13842, 20192,1,137.052900,137.052900
        344, 13838, 20201,1,137.073882,137.052900
        345, 13835, 20208,1,137.066888,137.038912
        346, 13826, 20204,1,137.045906,137.059894
        347, 13836, 20203,1,137.066888,137.052900
        348, 13891, 20154,1,137.052900,137.045906
        349, 13864, 20184,1,137.059894,137.031918
        350, 13848, 20191,1,137.045906,137.024924
        351, 13836, 20197,1,137.045906,137.045906
        352, 13832, 20199,1,137.059894,137.059894
        353, 13838, 20211,1,137.080876,137.045906
        354, 13834, 20205,1,137.045906,137.038912
        355, 13895, 20148,1,137.038912,137.038912
        356, 13870, 20169,1,137.052900,137.045906
        357, 13853, 20185,1,137.066888,137.052900
        358, 13833, 20197,1,137.073882,137.073882
        359, 13832, 20199,1,137.087871,137.094865
        360, 13830, 20202,1,137.094865,137.094865
        361, 13833, 20203,1,137.101859,137.087871
        362, 13831, 20203,1,137.094865,137.080876
        363, 13873, 20169,1,137.087871,137.073882
        364, 13859, 20187,1,137.080876,137.052900
        365, 13851, 20188,1,137.059894,137.052900
        366, 13840, 20201,1,137.052900,137.045906
        367, 13835, 20199,1,137.052900,137.059894
        368, 13832, 20198,1,137.059894,137.080876
        369, 13830, 20204,1,137.087871,137.073882
        370, 13884, 20160,1,137.080876,137.066888
        371, 13861, 20177,1,137.073882,137.066888
        372, 13847, 20193,1,137.080876,137.059894
        373, 13838, 20193,1,137.073882,137.073882
        374, 13836, 20199,1,137.087871,137.080876
        375, 13827, 20200,1,137.080876,137.094865
        376, 13832, 20199,1,137.101859,137.101859
        377, 13890, 20153,1,137.108853,137.080876
        378, 13865, 20178,1,137.087871,137.066888
        379, 13858, 20188,1,137.073882,137.052900
        380, 13839, 20195,1,137.052900,137.059894
        381, 13837, 20196,1,137.066888,137.066888
        382, 13835, 20206,1,137.073882,137.059894
        383, 13832, 20207,1,137.059894,137.052900
        384, 13833, 20156,1,137.052900,137.178794
        385, 13877, 20172,1,137.192782,137.122841
        386, 13853, 20185,1,137.143823,137.108853
        387, 13845, 20199,1,137.122841,137.080876
        388, 13835, 20199,1,137.080876,137.073882
        389, 13833, 20203,1,137.087871,137.080876
        390, 13828, 20204,1,137.080876,137.080876
        391, 13837, 20203,1,137.080876,137.073882
        392, 13882, 20167,1,137.073882,137.052900
        393, 13856, 20187,1,137.052900,137.052900
        394, 13846, 20193,1,137.052900,137.045906
        395, 13839, 20199,1,137.045906,137.052900
        396, 13840, 20203,1,137.045906,137.031918
        397, 13833, 20202,1,137.038912,137.045906
        398, 13829, 20200,1,137.052900,137.073882
        399, 13890, 20156,1,137.073882,137.059894
        400, 13864, 20182,1,137.066888,137.038912
        401, 13848, 20195,1,137.052900,137.031918
        402, 13843, 20199,1,137.031918,137.024924
        403, 13833, 20194,1,137.045906,137.059894
        404, 13835, 20209,1,137.073882,137.045906
        405, 13834, 20202,1,137.045906,137.045906
        406, 13895, 20151,1,137.052900,137.038912
        407, 13869, 20177,1,137.052900,137.038912
        408, 13851, 20183,1,137.038912,137.059894
        409, 13850, 20199,1,137.059894,137.024924
        410, 13835, 20201,1,137.031918,137.038912
        411, 13840, 20196,1,137.045906,137.052900
        412, 13840, 20203,1,137.059894,137.031918
        413, 13838, 20206,1,137.038912,137.024924
        414, 13883, 20164,1,137.038912,137.017929
        415, 13852, 20188,1,137.024924,137.024924
        416, 13841, 20191,1,137.038912,137.052900
        417, 13839, 20200,1,137.059894,137.052900
        418, 13836, 20204,1,137.059894,137.038912
        419, 13833, 20204,1,137.052900,137.052900
        420, 13830, 20199,1,137.052900,137.066888
        421, 13886, 20167,1,137.080876,137.038912
        422, 13862, 20177,1,137.045906,137.045906
        423, 13847, 20194,1,137.052900,137.045906
        424, 13837, 20197,1,137.052900,137.059894
        425, 13835, 20197,1,137.066888,137.073882
        426, 13839, 20203,1,137.080876,137.052900
        427, 13836, 20202,1,137.059894,137.052900
        428, 13889, 20159,1,137.059894,137.038912
        429, 13863, 20175,1,137.045906,137.052900
        430, 13854, 20186,1,137.059894,137.052900
        431, 13844, 20199,1,137.059894,137.038912
        432, 13840, 20203,1,137.052900,137.038912
        433, 13841, 20199,1,137.038912,137.031918
        434, 13827, 20199,1,137.045906,137.066888
        435, 13908, 20148,1,137.073882,137.038912
        436, 13870, 20175,1,137.038912,137.038912
        437, 13852, 20189,1,137.038912,137.031918
        438, 13849, 20185,1,137.038912,137.052900
        439, 13838, 20196,1,137.052900,137.066888
        440, 13840, 20201,1,137.073882,137.052900
        441, 13835, 20196,1,137.059894,137.073882
        442, 13832, 20205,1,137.080876,137.066888
        443, 13877, 20168,1,137.066888,137.052900
        444, 13863, 20176,1,137.066888,137.052900
        445, 13848, 20196,1,137.066888,137.045906
        446, 13840, 20198,1,137.052900,137.045906
        447, 13841, 20198,1,137.059894,137.045906
        448, 13826, 20199,1,137.052900,137.080876
        449, 13837, 20199,1,137.087871,137.073882
        450, 13889, 20160,1,137.094865,137.045906
        451, 13860, 20178,1,137.059894,137.052900
        452, 13852, 20188,1,137.066888,137.052900
        453, 13844, 20192,1,137.066888,137.066888
        454, 13841, 20204,1,137.073882,137.045906
        455, 13833, 20199,1,137.045906,137.059894
        456, 13829, 20197,1,137.059894,137.087871
        457, 13896, 20152,1,137.094865,137.066888
        458, 13868, 20169,1,137.073882,137.073882
        459, 13852, 20185,1,137.087871,137.080876
        460, 13842, 20191,1,137.087871,137.080876
        461, 13841, 20196,1,137.087871,137.073882
        462, 13832, 20194,1,137.087871,137.101859
        463, 13834, 20205,1,137.108853,137.080876
        464, 13837, 20139,1,137.087871,137.241741
        465, 13869, 20167,1,137.255729,137.206770
        466, 13855, 20177,1,137.213765,137.192782
        467, 13848, 20186,1,137.192782,137.157812
        468, 13842, 20197,1,137.171800,137.115847
        469, 13836, 20195,1,137.129835,137.115847
        470, 13841, 20196,1,137.122841,137.101859
        471, 13829, 20199,1,137.108853,137.115847
        472, 13880, 20162,1,137.115847,137.094865
        473, 13857, 20179,1,137.094865,137.087871
        474, 13842, 20184,1,137.101859,137.115847
        475, 13841, 20194,1,137.122841,137.101859
        476, 13836, 20224,1,137.101859,137.024924
        477, 13835, 20204,1,137.031918,137.031918
        478, 13835, 20199,1,137.031918,137.031918
        479, 13884, 20153,1,137.038912,137.052900
        480, 13864, 20178,1,137.073882,137.052900
        481, 13849, 20188,1,137.052900,137.052900
        482, 13839, 20197,1,137.066888,137.059894
        483, 13837, 20191,1,137.073882,137.080876
        484, 13835, 20202,1,137.094865,137.073882
        485, 13831, 20200,1,137.080876,137.073882
        486, 13898, 20148,1,137.087871,137.066888
        487, 13865, 20173,1,137.073882,137.066888
        488, 13848, 20181,1,137.080876,137.094865
        489, 13848, 20187,1,137.094865,137.080876
        490, 13836, 20197,1,137.101859,137.087871
        491, 13833, 20201,1,137.101859,137.087871
        492, 13833, 20199,1,137.101859,137.094865
        493, 13833, 20162,1,137.101859,137.192782
        494, 13876, 20170,1,137.206770,137.136829
        495, 13856, 20178,1,137.157812,137.122841
        496, 13846, 20192,1,137.143823,137.108853
        497, 13836, 20194,1,137.122841,137.108853
        498, 13843, 20201,1,137.115847,137.073882
        499, 13836, 20199,1,137.080876,137.073882
        500, 13832, 20197,1,137.087871,137.087871
        501, 13883, 20161,1,137.094865,137.073882
        502, 13855, 20174,1,137.080876,137.094865
        503, 13851, 20189,1,137.108853,137.073882
        504, 13840, 20193,1,137.080876,137.087871
        505, 13836, 20195,1,137.087871,137.094865
        506, 13830, 20202,1,137.101859,137.094865
        507, 13840, 20195,1,137.101859,137.087871
        508, 13890, 20155,1,137.094865,137.073882
        509, 13864, 20176,1,137.080876,137.059894
        510, 13850, 20183,1,137.080876,137.073882
        511, 13839, 20193,1,137.080876,137.087871
        512, 13841, 20197,1,137.087871,137.073882
        513, 13832, 20191,1,137.087871,137.108853
        514, 13833, 20197,1,137.115847,137.108853
        515, 13901, 20141,1,137.115847,137.101859
        516, 13868, 20167,1,137.108853,137.101859
        517, 13855, 20190,1,137.108853,137.073882
        518, 13845, 20192,1,137.080876,137.059894
        519, 13838, 20197,1,137.073882,137.073882
        520, 13833, 20193,1,137.080876,137.101859
        521, 13840, 20197,1,137.108853,137.080876
        522, 13832, 20201,1,137.094865,137.087871
        523, 13876, 20169,1,137.094865,137.073882
        524, 13860, 20182,1,137.073882,137.059894
        525, 13844, 20191,1,137.066888,137.066888
        526, 13842, 20202,1,137.073882,137.045906
        527, 13840, 20199,1,137.052900,137.045906
        528, 13835, 20201,1,137.045906,137.052900
        529, 13836, 20195,1,137.052900,137.059894
        530, 13885, 20161,1,137.066888,137.045906
        531, 13859, 20180,1,137.059894,137.052900
        532, 13849, 20188,1,137.052900,137.059894
        533, 13842, 20194,1,137.066888,137.059894
        534, 13833, 20195,1,137.073882,137.080876
        535, 13839, 20197,1,137.087871,137.080876
        536, 13838, 20203,1,137.087871,137.059894
        537, 13892, 20152,1,137.066888,137.059894
        538, 13863, 20170,1,137.066888,137.066888
        539, 13855, 20189,1,137.087871,137.052900
        540, 13847, 20185,1,137.066888,137.073882
        541, 13840, 20195,1,137.080876,137.080876
        542, 13836, 20196,1,137.087871,137.080876
        543, 13827, 20197,1,137.094865,137.108853
        544, 13900, 20144,1,137.115847,137.094865
        545, 13875, 20169,1,137.101859,137.087871
        546, 13855, 20186,1,137.087871,137.066888
        547, 13843, 20191,1,137.073882,137.073882
        548, 13843, 20197,1,137.073882,137.066888
        549, 13839, 20201,1,137.066888,137.052900
        550, 13839, 20195,1,137.059894,137.066888
        551, 13833, 20199,1,137.073882,137.066888
        552, 13876, 20162,1,137.080876,137.080876
        553, 13863, 20177,1,137.087871,137.066888
        554, 13848, 20193,1,137.073882,137.066888
        555, 13847, 20196,1,137.066888,137.052900
        556, 13832, 20194,1,137.052900,137.080876
        557, 13839, 20202,1,137.087871,137.059894
        558, 13837, 20194,1,137.073882,137.080876
        559, 13889, 20157,1,137.087871,137.059894
        560, 13859, 20179,1,137.066888,137.059894
        561, 13847, 20182,1,137.066888,137.094865
        562, 13847, 20197,1,137.094865,137.066888
        563, 13840, 20195,1,137.066888,137.066888
        564, 13837, 20195,1,137.066888,137.080876
        565, 13833, 20200,1,137.080876,137.087871
        566, 13897, 20150,1,137.087871,137.073882
        567, 13865, 20167,1,137.066888,137.094865
        568, 13855, 20189,1,137.094865,137.059894
        569, 13847, 20188,1,137.073882,137.066888
        570, 13839, 20200,1,137.080876,137.059894
        571, 13840, 20198,1,137.073882,137.059894
        572, 13835, 20195,1,137.059894,137.073882
        573, 13903, 20152,1,137.087871,137.038912
        574, 13875, 20168,1,137.045906,137.038912
        575, 13857, 20188,1,137.045906,137.031918
        576, 13846, 20189,1,137.031918,137.045906
        577, 13844, 20196,1,137.045906,137.045906
        578, 13834, 20195,1,137.052900,137.066888
        579, 13835, 20206,1,137.073882,137.059894
        580, 13828, 20199,1,137.052900,137.087871
        581, 13882, 20160,1,137.094865,137.073882
        582, 13862, 20177,1,137.080876,137.073882
        583, 13850, 20182,1,137.080876,137.080876
        584, 13843, 20196,1,137.087871,137.073882
        585, 13839, 20199,1,137.080876,137.059894
        586, 13837, 20195,1,137.073882,137.073882
        587, 13834, 20196,1,137.080876,137.094865
        588, 13889, 20156,1,137.101859,137.073882
        589, 13863, 20175,1,137.080876,137.080876
        590, 13851, 20188,1,137.080876,137.066888
        591, 13843, 20193,1,137.073882,137.073882
        592, 13840, 20192,1,137.073882,137.087871
        593, 13837, 20196,1,137.087871,137.080876
        594, 13831, 20199,1,137.087871,137.094865
        595, 13897, 20155,1,137.101859,137.059894
        596, 13867, 20171,1,137.059894,137.066888
        597, 13849, 20182,1,137.073882,137.087871
        598, 13847, 20191,1,137.094865,137.080876
        599, 13839, 20193,1,137.080876,137.087871
        600, 13840, 20195,1,137.094865,137.087871
        601, 13831, 20191,1,137.094865,137.115847
        602, 13897, 20143,1,137.129835,137.108853
        603, 13878, 20157,1,137.115847,137.115847
        604, 13860, 20182,1,137.122841,137.094865
        605, 13850, 20189,1,137.101859,137.080876
